DNAamplicons_PouchYoung			
Sample_ID	R1_file_name	R2_file_name	Amplicons_products
030620_PY01	07-030620PY01_S23_L001_R1_001.fastq	07-030620PY01_S23_L001_R2_001.fastq	"UBP1_chr9:207243078-207243308, MLH1_chr9:191435894-191436094"
030720_PY01	09-030720PY01_S25_L001_R1_001.fastq	09-030720PY01_S25_L001_R2_001.fastq	GPX7_chr4:27664860-27665060
040822_PY02	PY06-040822PY02_S6_L001_R1_001.fastq	PY06-040822PY02_S6_L001_R2_001.fastq	"UBP1_chr9:207243078-207243308, MLH1_chr9:191435894-191436094"
110822_PY02	PY010-110822PY02_S10_L001_R1_001.fastq	PY010-110822PY02_S10_L001_R2_001.fastq	GPX7_chr4:27664860-27665060
140421_PY01	PY-01-140421PY01_S264_L001_R1_001.fastq	PY-01-140421PY01_S264_L001_R2_001.fastq	"H19_chr6:282653001-282653184, IGF2R_chr7:94900212-94900445, GPX7_chr4:27664860-27665060"
140720_PY01	11-140720PY01_S27_L001_R1_001.fastq	11-140720PY01_S27_L001_R2_001.fastq	IGF2R_chr7:94900212-94900445
140722_PY01	PY-09-140722PY01_S272_L001_R1_001.fastq	PY-09-140722PY01_S272_L001_R2_001.fastq	IGF2R_chr7:94900212-94900445
141021_PY01	PY-06-141021PY01_S269_L001_R1_001.fastq	PY-06-141021PY01_S269_L001_R2_001.fastq	IGF2R_chr7:94900212-94900445
141021_PY02	PY-02-141021PY02_S265_L001_R1_001.fastq	PY-02-141021PY02_S265_L001_R2_001.fastq	"IGF2R_chr7:94900212-94900445, GPX7_chr4:27664860-27665060"
150720_PY01	13-150720PY01_S29_L001_R1_001.fastq	13-150720PY01_S29_L001_R2_001.fastq	MLH1_chr9:191445496-191445733
180820_PY01	21-180820PY01_S37_L001_R1_001.fastq	21-180820PY01_S37_L001_R2_001.fastq	EPM2AIP1_chr9:191486841-191487058
190521_PY01	57-190521PY01_S105_L001_R1_001.fastq	57-190521PY01_S105_L001_R2_001.fastq	"IGF2R_chr7:94900212-94900445, GPX7_chr4:27664860-27665060"
210421_PY01	PY-03-210421PY01_S266_L001_R1_001.fastq	PY-03-210421PY01_S266_L001_R2_001.fastq	"GPX7_chr4:27664860-27665060,EPM2AIP1_chr9:191486841-191487058"
250620_PY01	07-25620MGWSG1-1_S55_L001_R1_001.fastq	07-25620MGWSG1-1_S55_L001_R2_001.fastq	"IGF2R_chr7:94900212-94900445, EPM2AIP1_chr9:191486841-191487058, MLH1_chr9:191435894-191436094"
250822_PY01	PY012-250822PY01_S14_L001_R1_001.fastq	PY012-250822PY01_S14_L001_R2_001.fastq	"UBP1_chr9:207243078-207243308, MLH1_chr9:191435894-191436094"
270521_PY01	63-270521PY01_S111_L001_R1_001.fastq	63-270521PY01_S111_L001_R2_001.fastq	"GPX7_chr4:27664860-27665060, EPM2AIP1_chr9:191486841-191487058"
Sandy	02-Sandy_S18_L001_R1_001.fastq	02-Sandy_S18_L001_R2_001.fastq	EPM2AIP1_chr9:191486841-191487058
