iSeq036_DNAamplicons			
Sample_ID	R1_file_name	R2_file_name	Amplicon_products
Puku	01-Puku_S17_L001_R1_001.fastq	01-Puku_S17_L001_R2_001.fastq	"GPX7_chr4:27664860-27665060, H19_chr6:282653001-282653184, IGF2R_chr7:94900212-94900445, UBP1_chr9:207243078-207243308, MLH1_chr9:191435100-191435323, MLH1_chr9:191435894-191436094, MLH1_chr9:191445496-191445733"
Sandy	02-Sandy_S18_L001_R1_001.fastq	02-Sandy_S18_L001_R2_001.fastq	"GPX7_chr4:27664860-27665060, H19_chr6:282653001-282653184, IGF2R_chr7:94900212-94900445, UBP1_chr9:207243078-207243308, MLH1_chr9:191435100-191435323, MLH1_chr9:191435894-191436094, MLH1_chr9:191445496-191445733"
Sheila	03-Sheila_S19_L001_R1_001.fastq	03-Sheila_S19_L001_R2_001.fastq	"GPX7_chr4:27664860-27665060, H19_chr6:282653001-282653184, IGF2R_chr7:94900212-94900445, UBP1_chr9:207243078-207243308, MLH1_chr9:191435100-191435323, MLH1_chr9:191435894-191436094, MLH1_chr9:191445496-191445733"
190320_FG_WSG2	04-19320-FG-WSG2_S20_L001_R1_001.fastq	04-19320-FG-WSG2_S20_L001_R2_001.fastq	"GPX7_chr4:27664860-27665060, H19_chr6:282653001-282653184, IGF2R_chr7:94900212-94900445, UBP1_chr9:207243078-207243308, MLH1_chr9:191435100-191435323, MLH1_chr9:191435894-191436094, MLH1_chr9:191445496-191445733"
190320_PY01	05-19320-MJ-WSG2-1_S21_L001_R1_001.fastq	05-19320-MJ-WSG2-1_S21_L001_R2_001.fastq	"GPX7_chr4:27664860-27665060, H19_chr6:282653001-282653184, IGF2R_chr7:94900212-94900445, UBP1_chr9:207243078-207243308, MLH1_chr9:191435100-191435323, MLH1_chr9:191435894-191436094, MLH1_chr9:191445496-191445733"
030620_FG_WSG1	06-03620FG-WSG1_S22_L001_R1_001.fastq	06-03620FG-WSG1_S22_L001_R2_001.fastq	"GPX7_chr4:27664860-27665060, H19_chr6:282653001-282653184, IGF2R_chr7:94900212-94900445, UBP1_chr9:207243078-207243308, MLH1_chr9:191435100-191435323, MLH1_chr9:191435894-191436094, MLH1_chr9:191445496-191445733"
030620_PY01	07-030620PY01_S23_L001_R1_001.fastq	07-030620PY01_S23_L001_R2_001.fastq	"GPX7_chr4:27664860-27665060, H19_chr6:282653001-282653184, IGF2R_chr7:94900212-94900445, UBP1_chr9:207243078-207243308, MLH1_chr9:191435100-191435323, MLH1_chr9:191435894-191436094, MLH1_chr9:191445496-191445733"
030720_FG_SDR1	08-3720FGSDR1_S24_L001_R1_001.fastq	08-3720FGSDR1_S24_L001_R2_001.fastq	"GPX7_chr4:27664860-27665060, H19_chr6:282653001-282653184, IGF2R_chr7:94900212-94900445, UBP1_chr9:207243078-207243308, MLH1_chr9:191435100-191435323, MLH1_chr9:191435894-191436094, MLH1_chr9:191445496-191445733"
030720_PY01	09-030720PY01_S25_L001_R1_001.fastq	09-030720PY01_S25_L001_R2_001.fastq	"GPX7_chr4:27664860-27665060, H19_chr6:282653001-282653184, IGF2R_chr7:94900212-94900445, UBP1_chr9:207243078-207243308, MLH1_chr9:191435100-191435323, MLH1_chr9:191435894-191436094, MLH1_chr9:191445496-191445733"
140720_FG_BB1	10-14720FGBB1_S26_L001_R1_001.fastq	10-14720FGBB1_S26_L001_R2_001.fastq	"GPX7_chr4:27664860-27665060, H19_chr6:282653001-282653184, IGF2R_chr7:94900212-94900445, UBP1_chr9:207243078-207243308, MLH1_chr9:191435100-191435323, MLH1_chr9:191435894-191436094, MLH1_chr9:191445496-191445733"
140720_PY01	11-140720PY01_S27_L001_R1_001.fastq	11-140720PY01_S27_L001_R2_001.fastq	"GPX7_chr4:27664860-27665060, H19_chr6:282653001-282653184, IGF2R_chr7:94900212-94900445, UBP1_chr9:207243078-207243308, MLH1_chr9:191435100-191435323, MLH1_chr9:191435894-191436094, MLH1_chr9:191445496-191445733"
150720_FR_BB1	12-15720FRBB1_S28_L001_R1_001.fastq	12-15720FRBB1_S28_L001_R2_001.fastq	"GPX7_chr4:27664860-27665060, H19_chr6:282653001-282653184, IGF2R_chr7:94900212-94900445, UBP1_chr9:207243078-207243308, MLH1_chr9:191435100-191435323, MLH1_chr9:191435894-191436094, MLH1_chr9:191445496-191445733"
150720_PY01	13-150720PY01_S29_L001_R1_001.fastq	13-150720PY01_S29_L001_R2_001.fastq	"GPX7_chr4:27664860-27665060, H19_chr6:282653001-282653184, IGF2R_chr7:94900212-94900445, UBP1_chr9:207243078-207243308, MLH1_chr9:191435100-191435323, MLH1_chr9:191435894-191436094, MLH1_chr9:191445496-191445733"
280720_FG_SDR1	14-28720FGSDR1_S30_L001_R1_001.fastq	14-28720FGSDR1_S30_L001_R2_001.fastq	"GPX7_chr4:27664860-27665060, H19_chr6:282653001-282653184, IGF2R_chr7:94900212-94900445, UBP1_chr9:207243078-207243308, MLH1_chr9:191435100-191435323, MLH1_chr9:191435894-191436094, MLH1_chr9:191445496-191445733"
280720_PY01	15-28720PYSDR1-1_S31_L001_R1_001.fastq	15-28720PYSDR1-1_S31_L001_R2_001.fastq	"GPX7_chr4:27664860-27665060, H19_chr6:282653001-282653184, IGF2R_chr7:94900212-94900445, UBP1_chr9:207243078-207243308, MLH1_chr9:191435100-191435323, MLH1_chr9:191435894-191436094, MLH1_chr9:191445496-191445733"
040820_FG_BB1	16-4820FGBB1_S32_L001_R1_001.fastq	16-4820FGBB1_S32_L001_R2_001.fastq	"GPX7_chr4:27664860-27665060, H19_chr6:282653001-282653184, IGF2R_chr7:94900212-94900445, UBP1_chr9:207243078-207243308, MLH1_chr9:191435100-191435323, MLH1_chr9:191435894-191436094, MLH1_chr9:191445496-191445733"
040820_PY01	17-4820FPYBB1-1_S33_L001_R1_001.fastq	17-4820FPYBB1-1_S33_L001_R2_001.fastq	"GPX7_chr4:27664860-27665060, H19_chr6:282653001-282653184, IGF2R_chr7:94900212-94900445, UBP1_chr9:207243078-207243308, MLH1_chr9:191435100-191435323, MLH1_chr9:191435894-191436094, MLH1_chr9:191445496-191445733"
120820_FG_WSG2	18-12820FGWSG2_S34_L001_R1_001.fastq	18-12820FGWSG2_S34_L001_R2_001.fastq	"GPX7_chr4:27664860-27665060, H19_chr6:282653001-282653184, IGF2R_chr7:94900212-94900445, UBP1_chr9:207243078-207243308, MLH1_chr9:191435100-191435323, MLH1_chr9:191435894-191436094, MLH1_chr9:191445496-191445733"
120820_PY01	19-12820WSGPYM2-1_S35_L001_R1_001.fastq	19-12820WSGPYM2-1_S35_L001_R2_001.fastq	"GPX7_chr4:27664860-27665060, H19_chr6:282653001-282653184, IGF2R_chr7:94900212-94900445, UBP1_chr9:207243078-207243308, MLH1_chr9:191435100-191435323, MLH1_chr9:191435894-191436094, MLH1_chr9:191445496-191445733"
180820_FB_SDR1	20-18820FBSDR1_S36_L001_R1_001.fastq	20-18820FBSDR1_S36_L001_R2_001.fastq	"GPX7_chr4:27664860-27665060, H19_chr6:282653001-282653184, IGF2R_chr7:94900212-94900445, UBP1_chr9:207243078-207243308, MLH1_chr9:191435100-191435323, MLH1_chr9:191435894-191436094, MLH1_chr9:191445496-191445733"
180820_PY01	21-180820PY01_S37_L001_R1_001.fastq	21-180820PY01_S37_L001_R2_001.fastq	"GPX7_chr4:27664860-27665060, H19_chr6:282653001-282653184, IGF2R_chr7:94900212-94900445, UBP1_chr9:207243078-207243308, MLH1_chr9:191435100-191435323, MLH1_chr9:191435894-191436094, MLH1_chr9:191445496-191445733"
No_template_control_1	23-FPI02-NTC_S39_L001_R1_001.fastq	23-FPI02-NTC_S39_L001_R2_001.fastq	
			
			
