cDNA_PouchYoung			
Sample_ID	R1_file_name	R2_file_name	Amplicons_products
140421_PY01	cDNA-3-1_S17_L001_R1_001.fastq	cDNA-3-1_S17_L001_R2_001.fastq	"H19_chr6:282653001-282653184, IGF2R_chr7:94900212-94900445, GPX7_chr4:27665030_SNP_cDNA"
250620_PY01	cDNA-03-I-25620MGWSG1-1_S284_L001_R1_001.fastq	cDNA-03-I-25620MGWSG1-1_S284_L001_R2_001.fastq	IGF2R_chr7:94900212-94900445
250620_PY01	cDNA-03-E1-25620MGWSG1-1_S279_L001_R1_001.fastq	cDNA-03-E1-25620MGWSG1-1_S279_L001_R2_001.fastq	EPM2AIP1_chr9:191486841-191487058
250620_PY01	cDNA-03-M2-3-25620MGWSG1-1_S298_L001_R1_001.fastq	cDNA-03-M2-3-25620MGWSG1-1_S298_L001_R2_001.fastq	MLH1_chr9:191436025_191435198_SNPs_cDNA
140720_PY01	cDNA-04-I-140720PY01_S285_L001_R1_001.fastq	cDNA-04-I-140720PY01_S285_L001_R2_001.fastq	IGF2R_chr7:94900212-94900445
190521_PY01	cDNA-06-I-190521PY01_S286_L001_R1_001.fastq	cDNA-06-I-190521PY01_S286_L001_R2_001.fastq	IGF2R_chr7:94900212-94900445
190521_PY01	cDNA-06-G-190521PY01_S290_L001_R1_001.fastq	cDNA-06-G-190521PY01_S290_L001_R2_001.fastq	GPX7_chr4:27665030_SNP_cDNA
141021_PY01	cDNA-3-5_S21_L001_R1_001.fastq	cDNA-3-5_S21_L001_R2_001.fastq	IGF2R_chr7:94900212-94900445
141021_PY02	cDNA-3-6_S22_L001_R1_001.fastq	cDNA-3-6_S22_L001_R2_001.fastq	"IGF2R_chr7:94900212-94900445, GPX7_chr4:27665030_SNP_cDNA"
140722_PY01	cDNA-3-9_S25_L001_R1_001.fastq	cDNA-3-9_S25_L001_R2_001.fastq	IGF2R_chr7:94900212-94900445
030620_PY01	cDNA-B-U-030620PY01_S294_L001_R1_001.fastq	cDNA-B-U-030620PY01_S294_L001_R2_001.fastq	UBP1_chr9:207243191_207243224_SNPs_cDNA
040822_PY02	75-UBP1-pos_S215_L001_R1_001.fastq	75-UBP1-pos_S215_L001_R2_001.fastq	UBP1_chr9:207243191_207243224_SNPs_cDNA
250822_PY01	250822PY01-UBP1_S112_L001_R1_001.fastq	250822PY01-UBP1_S112_L001_R2_001.fastq	UBP1_chr9:207243191_207243224_SNPs_cDNA
030720_PY01	cDNA-A-G-030720PY01_S293_L001_R1_001.fastq	cDNA-A-G-030720PY01_S293_L001_R2_001.fastq	GPX7_chr4:27665030_SNP_cDNA
270521_PY01	cDNA-07-G-270521PY01_S291_L001_R1_001.fastq	cDNA-07-G-270521PY01_S291_L001_R2_001.fastq	GPX7_chr4:27665030_SNP_cDNA
270521_PY01	cDNA-07-E1-270521PY01_S280_L001_R1_001.fastq	cDNA-07-E1-270521PY01_S280_L001_R2_001.fastq	EPM2AIP1_chr9:191486841-191487058
210421_PY01	cDNA-3-2_S18_L001_R1_001.fastq	cDNA-3-2_S18_L001_R2_001.fastq	"GPX7_chr4:27665030_SNP_cDNA, EPM2AIP1_chr9:191486841-191487058"
110822_PY02	77-GPX7-pos_S217_L001_R1_001.fastq	77-GPX7-pos_S217_L001_R2_001.fastq	GPX7_chr4:27665030_SNP_cDNA
180820_PY01	cDNA-02-E1-180820PY01_S277_L001_R1_001.fastq	cDNA-02-E1-180820PY01_S277_L001_R2_001.fastq	EPM2AIP1_chr9:191486841-191487058
Sandy	cDNA-01-E1-Sandy_S276_L001_R1_001.fastq	cDNA-01-E1-Sandy_S276_L001_R2_001.fastq	EPM2AIP1_chr9:191486841-191487058
030620_PY01	cDNA-B-M2-3-030620PY01_S299_L001_R1_001.fastq	cDNA-B-M2-3-030620PY01_S299_L001_R2_001.fastq	MLH1_chr9:191436025_191435198_SNPs_cDNA
040822_PY02	73-MLH1-3-pos_S213_L001_R1_001.fastq	73-MLH1-3-pos_S213_L001_R2_001.fastq	MLH1_chr9:191436025_191435198_SNPs_cDNA
250822_PY01	250822PY01-MLH1_S114_L001_R1_001.fastq	250822PY01-MLH1_S114_L001_R2_001.fastq	MLH1_chr9:191436025_191435198_SNPs_cDNA
150720_PY01	cDNA-05-M5-150720PY01_S283_L001_R1_001.fastq	cDNA-05-M5-150720PY01_S283_L001_R2_001.fastq	MLH1_chr9:191445496-191445733
