iSeq037_2_DNAamplicons			
Sample_ID	R1_file_name	R2_file_name	Amplicon_products
290920_PY01	01-290520PY01_S49_L001_R1_001.fastq.gz	01-290520PY01_S49_L001_R2_001.fastq.gz	"GPX7_chr4:27664860-27665060, H19_chr6:282653001-282653184, IGF2R_chr7:94900212-94900445, UBP1_chr9:207243078-207243308, MLH1_chr9:191435100-191435323, MLH1_chr9:191435894-191436094, EPM2AIP1_chr9:191486841-191487058"
160620_MG_SDR1	02-16620MGSDR1_S50_L001_R1_001.fastq.gz	02-16620MGSDR1_S50_L001_R2_001.fastq.gz	"GPX7_chr4:27664860-27665060, H19_chr6:282653001-282653184, IGF2R_chr7:94900212-94900445, UBP1_chr9:207243078-207243308, MLH1_chr9:191435100-191435323, MLH1_chr9:191435894-191436094, EPM2AIP1_chr9:191486841-191487058"
13320_MB_SDR1	03-13320-MB-SDR1_S51_L001_R1_001.fastq.gz	03-13320-MB-SDR1_S51_L001_R2_001.fastq.gz	"GPX7_chr4:27664860-27665060, H19_chr6:282653001-282653184, IGF2R_chr7:94900212-94900445, UBP1_chr9:207243078-207243308, MLH1_chr9:191435100-191435323, MLH1_chr9:191435894-191436094, EPM2AIP1_chr9:191486841-191487058"
17320_FR_SDR1	04-17320-FR-SDR1_S52_L001_R1_001.fastq.gz	04-17320-FR-SDR1_S52_L001_R2_001.fastq.gz	"GPX7_chr4:27664860-27665060, H19_chr6:282653001-282653184, IGF2R_chr7:94900212-94900445, UBP1_chr9:207243078-207243308, MLH1_chr9:191435100-191435323, MLH1_chr9:191435894-191436094, EPM2AIP1_chr9:191486841-191487058"
19320_MR_WSG1	05-19320-MR-WSG1_S53_L001_R1_001.fastq.gz	05-19320-MR-WSG1_S53_L001_R2_001.fastq.gz	"GPX7_chr4:27664860-27665060, H19_chr6:282653001-282653184, IGF2R_chr7:94900212-94900445, UBP1_chr9:207243078-207243308, MLH1_chr9:191435100-191435323, MLH1_chr9:191435894-191436094, EPM2AIP1_chr9:191486841-191487058"
280520_PY01	06-280520PY01_S54_L001_R1_001.fastq.gz	06-280520PY01_S54_L001_R2_001.fastq.gz	"GPX7_chr4:27664860-27665060, H19_chr6:282653001-282653184, IGF2R_chr7:94900212-94900445, UBP1_chr9:207243078-207243308, MLH1_chr9:191435100-191435323, MLH1_chr9:191435894-191436094, EPM2AIP1_chr9:191486841-191487058"
250620_PY01	07-25620MGWSG1-1_S55_L001_R1_001.fastq.gz	07-25620MGWSG1-1_S55_L001_R2_001.fastq.gz	"GPX7_chr4:27664860-27665060, H19_chr6:282653001-282653184, IGF2R_chr7:94900212-94900445, UBP1_chr9:207243078-207243308, MLH1_chr9:191435100-191435323, MLH1_chr9:191435894-191436094, EPM2AIP1_chr9:191486841-191487058"
120320_MB_SDR2	08-12320-MB-SDR2_S56_L001_R1_001.fastq.gz	08-12320-MB-SDR2_S56_L001_R2_001.fastq.gz	"GPX7_chr4:27664860-27665060, H19_chr6:282653001-282653184, IGF2R_chr7:94900212-94900445, UBP1_chr9:207243078-207243308, MLH1_chr9:191435100-191435323, MLH1_chr9:191435894-191436094, EPM2AIP1_chr9:191486841-191487058"
150720_MG_BB2	09-15720MGBB2_S57_L001_R1_001.fastq.gz	09-15720MGBB2_S57_L001_R2_001.fastq.gz	"GPX7_chr4:27664860-27665060, H19_chr6:282653001-282653184, IGF2R_chr7:94900212-94900445, UBP1_chr9:207243078-207243308, MLH1_chr9:191435100-191435323, MLH1_chr9:191435894-191436094, EPM2AIP1_chr9:191486841-191487058"
250620_FG_WSG1	10-25620FGWSG1_S58_L001_R1_001.fastq.gz	10-25620FGWSG1_S58_L001_R2_001.fastq.gz	"GPX7_chr4:27664860-27665060, H19_chr6:282653001-282653184, IGF2R_chr7:94900212-94900445, UBP1_chr9:207243078-207243308, MLH1_chr9:191435100-191435323, MLH1_chr9:191435894-191436094, EPM2AIP1_chr9:191486841-191487058"
100620_MG_BB1	11-10620MGBB1_S59_L001_R1_001.fastq.gz	11-10620MGBB1_S59_L001_R2_001.fastq.gz	"GPX7_chr4:27664860-27665060, H19_chr6:282653001-282653184, IGF2R_chr7:94900212-94900445, UBP1_chr9:207243078-207243308, MLH1_chr9:191435100-191435323, MLH1_chr9:191435894-191436094, EPM2AIP1_chr9:191486841-191487058"
120320_MR_SDR1	12-12320-MR-SDR1_S60_L001_R1_001.fastq.gz	12-12320-MR-SDR1_S60_L001_R2_001.fastq.gz	"GPX7_chr4:27664860-27665060, H19_chr6:282653001-282653184, IGF2R_chr7:94900212-94900445, UBP1_chr9:207243078-207243308, MLH1_chr9:191435100-191435323, MLH1_chr9:191435894-191436094, EPM2AIP1_chr9:191486841-191487058"
180320_MG_WSG1	13-18320-MG-WSG1_S61_L001_R1_001.fastq.gz	13-18320-MG-WSG1_S61_L001_R2_001.fastq.gz	"GPX7_chr4:27664860-27665060, H19_chr6:282653001-282653184, IGF2R_chr7:94900212-94900445, UBP1_chr9:207243078-207243308, MLH1_chr9:191435100-191435323, MLH1_chr9:191435894-191436094, EPM2AIP1_chr9:191486841-191487058"
100720_MG_SDR1	14-10720MGSDR1_S62_L001_R1_001.fastq.gz	14-10720MGSDR1_S62_L001_R2_001.fastq.gz	"GPX7_chr4:27664860-27665060, H19_chr6:282653001-282653184, IGF2R_chr7:94900212-94900445, UBP1_chr9:207243078-207243308, MLH1_chr9:191435100-191435323, MLH1_chr9:191435894-191436094, EPM2AIP1_chr9:191486841-191487058"
100720__MGSDR2	15-10720MGSDR2_S63_L001_R1_001.fastq.gz	15-10720MGSDR2_S63_L001_R2_001.fastq.gz	"GPX7_chr4:27664860-27665060, H19_chr6:282653001-282653184, IGF2R_chr7:94900212-94900445, UBP1_chr9:207243078-207243308, MLH1_chr9:191435100-191435323, MLH1_chr9:191435894-191436094, EPM2AIP1_chr9:191486841-191487058"
210720_MG_WSG1	16-21720MGWSG1_S64_L001_R1_001.fastq.gz	16-21720MGWSG1_S64_L001_R2_001.fastq.gz	"GPX7_chr4:27664860-27665060, H19_chr6:282653001-282653184, IGF2R_chr7:94900212-94900445, UBP1_chr9:207243078-207243308, MLH1_chr9:191435100-191435323, MLH1_chr9:191435894-191436094, EPM2AIP1_chr9:191486841-191487058"
110820_FG_WSG1	17-110820FGWSG1_S65_L001_R1_001.fastq.gz	17-110820FGWSG1_S65_L001_R2_001.fastq.gz	"GPX7_chr4:27664860-27665060, H19_chr6:282653001-282653184, IGF2R_chr7:94900212-94900445, UBP1_chr9:207243078-207243308, MLH1_chr9:191435100-191435323, MLH1_chr9:191435894-191436094, EPM2AIP1_chr9:191486841-191487058"
120820_MG_WSG1	18-12820MGWSG1_S66_L001_R1_001.fastq.gz	18-12820MGWSG1_S66_L001_R2_001.fastq.gz	"GPX7_chr4:27664860-27665060, H19_chr6:282653001-282653184, IGF2R_chr7:94900212-94900445, UBP1_chr9:207243078-207243308, MLH1_chr9:191435100-191435323, MLH1_chr9:191435894-191436094, EPM2AIP1_chr9:191486841-191487058"
